"Statistic","Year","Age Group","Sex","UNIT","VALUE"
"Population Estimates (Persons in April)","2014","55 - 59 years","Both sexes","Thousand","255.7"
"Population Estimates (Persons in April)","2014","55 - 59 years","Male","Thousand","127.2"
"Population Estimates (Persons in April)","2014","55 - 59 years","Female","Thousand","128.5"
"Population Estimates (Persons in April)","2014","60 - 64 years","Both sexes","Thousand","226.4"
"Population Estimates (Persons in April)","2014","60 - 64 years","Male","Thousand","112.9"
"Population Estimates (Persons in April)","2014","60 - 64 years","Female","Thousand","113.4"
"Population Estimates (Persons in April)","2014","65 - 69 years","Both sexes","Thousand","197.2"
"Population Estimates (Persons in April)","2014","65 - 69 years","Male","Thousand","98.5"
"Population Estimates (Persons in April)","2014","65 - 69 years","Female","Thousand","98.7"
"Population Estimates (Persons in April)","2014","65 years and over","Both sexes","Thousand","589.5"
"Population Estimates (Persons in April)","2014","65 years and over","Male","Thousand","272.5"
"Population Estimates (Persons in April)","2014","65 years and over","Female","Thousand","317"
"Population Estimates (Persons in April)","2014","70 - 74 years","Both sexes","Thousand","144.4"
"Population Estimates (Persons in April)","2014","70 - 74 years","Male","Thousand","70.4"
"Population Estimates (Persons in April)","2014","70 - 74 years","Female","Thousand","74"
"Population Estimates (Persons in April)","2014","75 - 79 years","Both sexes","Thousand","109.1"
"Population Estimates (Persons in April)","2014","75 - 79 years","Male","Thousand","50.7"
"Population Estimates (Persons in April)","2014","75 - 79 years","Female","Thousand","58.4"
"Population Estimates (Persons in April)","2014","80 - 84 years","Both sexes","Thousand","76.1"
"Population Estimates (Persons in April)","2014","80 - 84 years","Male","Thousand","32.6"
"Population Estimates (Persons in April)","2014","80 - 84 years","Female","Thousand","43.5"
"Population Estimates (Persons in April)","2014","85 years and over","Both sexes","Thousand","62.7"
"Population Estimates (Persons in April)","2014","85 years and over","Male","Thousand","20.3"
"Population Estimates (Persons in April)","2014","85 years and over","Female","Thousand","42.4"
"Population Estimates (Persons in April)","2014","All ages","Both sexes","Thousand","4645.4"
"Population Estimates (Persons in April)","2014","All ages","Male","Thousand","2299"
"Population Estimates (Persons in April)","2014","All ages","Female","Thousand","2346.4"
"Population Estimates (Persons in April)","2015","Under 1 year","Both sexes","Thousand","64.2"
"Population Estimates (Persons in April)","2015","Under 1 year","Male","Thousand","33"
"Population Estimates (Persons in April)","2015","Under 1 year","Female","Thousand","31.4"
"Population Estimates (Persons in April)","2015","0 - 4 years","Both sexes","Thousand","337.9"
"Population Estimates (Persons in April)","2015","0 - 4 years","Male","Thousand","172.4"
"Population Estimates (Persons in April)","2015","0 - 4 years","Female","Thousand","165.6"
"Population Estimates (Persons in April)","2015","0 - 14 years","Both sexes","Thousand","1001.7"
"Population Estimates (Persons in April)","2015","0 - 14 years","Male","Thousand","511.8"
"Population Estimates (Persons in April)","2015","0 - 14 years","Female","Thousand","490"
"Population Estimates (Persons in April)","2015","1 - 4 years","Both sexes","Thousand","273.8"
"Population Estimates (Persons in April)","2015","1 - 4 years","Male","Thousand","139.6"
"Population Estimates (Persons in April)","2015","1 - 4 years","Female","Thousand","279.7"
"Population Estimates (Persons in April)","2015","5 - 9 years","Both sexes","Thousand","349.3"
"Population Estimates (Persons in April)","2015","5 - 9 years","Male","Thousand","178.5"
"Population Estimates (Persons in April)","2015","5 - 9 years","Female","Thousand","170.8"
"Population Estimates (Persons in April)","2015","10 - 14 years","Both sexes","Thousand","314.4"
"Population Estimates (Persons in April)","2015","10 - 14 years","Male","Thousand","160.9"
"Population Estimates (Persons in April)","2015","10 - 14 years","Female","Thousand","153.6"
"Population Estimates (Persons in April)","2015","15 - 19 years","Both sexes","Thousand","296.1"
"Population Estimates (Persons in April)","2015","15 - 19 years","Male","Thousand","152"
"Population Estimates (Persons in April)","2015","15 - 19 years","Female","Thousand","144.1"
"Population Estimates (Persons in April)","2015","15 - 24 years","Both sexes","Thousand","571.6"
"Population Estimates (Persons in April)","2015","15 - 24 years","Male","Thousand","291.9"
"Population Estimates (Persons in April)","2015","15 - 24 years","Female","Thousand","279.7"
"Population Estimates (Persons in April)","2015","15 years and over","Both sexes","Thousand","3686.1"
"Population Estimates (Persons in April)","2015","15 years and over","Male","Thousand","1806"
"Population Estimates (Persons in April)","2015","15 years and over","Female","Thousand","1880.1"
"Population Estimates (Persons in April)","2015","20 - 24 years","Both sexes","Thousand","275.5"
"Population Estimates (Persons in April)","2015","20 - 24 years","Male","Thousand","139.9"
"Population Estimates (Persons in April)","2015","20 - 24 years","Female","Thousand","135.6"
"Population Estimates (Persons in April)","2015","25 - 29 years","Both sexes","Thousand","298.7"
"Population Estimates (Persons in April)","2015","25 - 29 years","Male","Thousand","143.7"
"Population Estimates (Persons in April)","2015","25 - 29 years","Female","Thousand","155"
"Population Estimates (Persons in April)","2015","25 - 44 years","Both sexes","Thousand","1400.6"
"Population Estimates (Persons in April)","2015","25 - 44 years","Male","Thousand","682.5"
"Population Estimates (Persons in April)","2015","25 - 44 years","Female","Thousand","718.1"
"Population Estimates (Persons in April)","2015","30 - 34 years","Both sexes","Thousand","369.2"
"Population Estimates (Persons in April)","2015","30 - 34 years","Male","Thousand","177"
"Population Estimates (Persons in April)","2015","30 - 34 years","Female","Thousand","192.2"
"Population Estimates (Persons in April)","2015","35 - 39 years","Both sexes","Thousand","379.8"
"Population Estimates (Persons in April)","2015","35 - 39 years","Male","Thousand","186.9"
"Population Estimates (Persons in April)","2015","35 - 39 years","Female","Thousand","192.9"
"Population Estimates (Persons in April)","2015","40 - 44 years","Both sexes","Thousand","353"
"Population Estimates (Persons in April)","2015","40 - 44 years","Male","Thousand","175"
"Population Estimates (Persons in April)","2015","40 - 44 years","Female","Thousand","178"
"Population Estimates (Persons in April)","2015","45 - 49 years","Both sexes","Thousand","317"
"Population Estimates (Persons in April)","2015","45 - 49 years","Male","Thousand","158.4"
"Population Estimates (Persons in April)","2015","45 - 49 years","Female","Thousand","158.6"
"Population Estimates (Persons in April)","2015","45 - 64 years","Both sexes","Thousand","1103.6"
"Population Estimates (Persons in April)","2015","45 - 64 years","Male","Thousand","548.7"
"Population Estimates (Persons in April)","2015","45 - 64 years","Female","Thousand","554.9"
"Population Estimates (Persons in April)","2015","50 - 54 years","Both sexes","Thousand","295.2"
"Population Estimates (Persons in April)","2015","50 - 54 years","Male","Thousand","146.1"
"Population Estimates (Persons in April)","2015","50 - 54 years","Female","Thousand","149.1"
"Population Estimates (Persons in April)","2015","55 - 59 years","Both sexes","Thousand","260.6"
"Population Estimates (Persons in April)","2015","55 - 59 years","Male","Thousand","129.3"
"Population Estimates (Persons in April)","2015","55 - 59 years","Female","Thousand","131.3"
"Population Estimates (Persons in April)","2015","60 - 64 years","Both sexes","Thousand","230.8"
"Population Estimates (Persons in April)","2015","60 - 64 years","Male","Thousand","115"
"Population Estimates (Persons in April)","2015","60 - 64 years","Female","Thousand","115.9"
"Population Estimates (Persons in April)","2015","65 - 69 years","Both sexes","Thousand","203.6"
"Population Estimates (Persons in April)","2015","65 - 69 years","Male","Thousand","101.2"
"Population Estimates (Persons in April)","2015","65 - 69 years","Female","Thousand","102.3"
"Population Estimates (Persons in April)","2015","65 years and over","Both sexes","Thousand","610.3"
"Population Estimates (Persons in April)","2015","65 years and over","Male","Thousand","282.8"
"Population Estimates (Persons in April)","2015","65 years and over","Female","Thousand","327.4"
"Population Estimates (Persons in April)","2015","70 - 74 years","Both sexes","Thousand","150.8"
"Population Estimates (Persons in April)","2015","70 - 74 years","Male","Thousand","73.6"
"Population Estimates (Persons in April)","2015","70 - 74 years","Female","Thousand","77.2"
"Population Estimates (Persons in April)","2015","75 - 79 years","Both sexes","Thousand","112.2"
"Population Estimates (Persons in April)","2015","75 - 79 years","Male","Thousand","52.4"
"Population Estimates (Persons in April)","2015","75 - 79 years","Female","Thousand","59.7"
"Population Estimates (Persons in April)","2015","80 - 84 years","Both sexes","Thousand","78.8"
"Population Estimates (Persons in April)","2015","80 - 84 years","Male","Thousand","34.1"
"Population Estimates (Persons in April)","2015","80 - 84 years","Female","Thousand","44.7"
"Population Estimates (Persons in April)","2015","85 years and over","Both sexes","Thousand","64.9"
"Population Estimates (Persons in April)","2015","85 years and over","Male","Thousand","21.4"
"Population Estimates (Persons in April)","2015","85 years and over","Female","Thousand","43.5"
"Population Estimates (Persons in April)","2015","All ages","Both sexes","Thousand","4687.8"
"Population Estimates (Persons in April)","2015","All ages","Male","Thousand","2317.7"
"Population Estimates (Persons in April)","2015","All ages","Female","Thousand","2370.1"
"Population Estimates (Persons in April)","2016","Under 1 year","Both sexes","Thousand","62.2"
"Population Estimates (Persons in April)","2016","Under 1 year","Male","Thousand","32"
"Population Estimates (Persons in April)","2016","Under 1 year","Female","Thousand","30.4"
"Population Estimates (Persons in April)","2016","0 - 4 years","Both sexes","Thousand","331.4"
"Population Estimates (Persons in April)","2016","0 - 4 years","Male","Thousand","169.7"
"Population Estimates (Persons in April)","2016","0 - 4 years","Female","Thousand","161.7"
"Population Estimates (Persons in April)","2016","0 - 14 years","Both sexes","Thousand","1005.5"
"Population Estimates (Persons in April)","2016","0 - 14 years","Male","Thousand","514.2"
"Population Estimates (Persons in April)","2016","0 - 14 years","Female","Thousand","491.3"
"Population Estimates (Persons in April)","2016","1 - 4 years","Both sexes","Thousand","269.2"
"Population Estimates (Persons in April)","2016","1 - 4 years","Male","Thousand","137.8"
"Population Estimates (Persons in April)","2016","1 - 4 years","Female","Thousand","281.9"
"Population Estimates (Persons in April)","2016","5 - 9 years","Both sexes","Thousand","355.3"
"Population Estimates (Persons in April)","2016","5 - 9 years","Male","Thousand","181.4"
"Population Estimates (Persons in April)","2016","5 - 9 years","Female","Thousand","173.9"
"Population Estimates (Persons in April)","2016","10 - 14 years","Both sexes","Thousand","318.9"
"Population Estimates (Persons in April)","2016","10 - 14 years","Male","Thousand","163.1"
"Population Estimates (Persons in April)","2016","10 - 14 years","Female","Thousand","155.7"
"Population Estimates (Persons in April)","2016","15 - 19 years","Both sexes","Thousand","301.2"
"Population Estimates (Persons in April)","2016","15 - 19 years","Male","Thousand","154.4"
"Population Estimates (Persons in April)","2016","15 - 19 years","Female","Thousand","146.9"
"Population Estimates (Persons in April)","2016","15 - 24 years","Both sexes","Thousand","574.7"
"Population Estimates (Persons in April)","2016","15 - 24 years","Male","Thousand","292.8"
"Population Estimates (Persons in April)","2016","15 - 24 years","Female","Thousand","281.9"
"Population Estimates (Persons in April)","2016","15 years and over","Both sexes","Thousand","3734.1"
"Population Estimates (Persons in April)","2016","15 years and over","Male","Thousand","1832.4"
"Population Estimates (Persons in April)","2016","15 years and over","Female","Thousand","1901.7"
"Population Estimates (Persons in April)","2016","20 - 24 years","Both sexes","Thousand","273.5"
"Population Estimates (Persons in April)","2016","20 - 24 years","Male","Thousand","138.4"
"Population Estimates (Persons in April)","2016","20 - 24 years","Female","Thousand","135.1"
"Population Estimates (Persons in April)","2016","25 - 29 years","Both sexes","Thousand","296.7"
"Population Estimates (Persons in April)","2016","25 - 29 years","Male","Thousand","145.2"
"Population Estimates (Persons in April)","2016","25 - 29 years","Female","Thousand","151.5"
"Population Estimates (Persons in April)","2016","25 - 44 years","Both sexes","Thousand","1401.5"
"Population Estimates (Persons in April)","2016","25 - 44 years","Male","Thousand","685.4"
"Population Estimates (Persons in April)","2016","25 - 44 years","Female","Thousand","716.1"
"Population Estimates (Persons in April)","2016","30 - 34 years","Both sexes","Thousand","360.3"
"Population Estimates (Persons in April)","2016","30 - 34 years","Male","Thousand","172.5"
"Population Estimates (Persons in April)","2016","30 - 34 years","Female","Thousand","187.8"
"Population Estimates (Persons in April)","2016","35 - 39 years","Both sexes","Thousand","388.1"
"Population Estimates (Persons in April)","2016","35 - 39 years","Male","Thousand","190.6"
"Population Estimates (Persons in April)","2016","35 - 39 years","Female","Thousand","197.5"
"Population Estimates (Persons in April)","2016","40 - 44 years","Both sexes","Thousand","356.5"
"Population Estimates (Persons in April)","2016","40 - 44 years","Male","Thousand","177.2"
"Population Estimates (Persons in April)","2016","40 - 44 years","Female","Thousand","179.3"
"Population Estimates (Persons in April)","2016","45 - 49 years","Both sexes","Thousand","324.9"
"Population Estimates (Persons in April)","2016","45 - 49 years","Male","Thousand","162.5"
"Population Estimates (Persons in April)","2016","45 - 49 years","Female","Thousand","162.4"
"Population Estimates (Persons in April)","2016","45 - 64 years","Both sexes","Thousand","1128"
"Population Estimates (Persons in April)","2016","45 - 64 years","Male","Thousand","561"
"Population Estimates (Persons in April)","2016","45 - 64 years","Female","Thousand","567"
"Population Estimates (Persons in April)","2016","50 - 54 years","Both sexes","Thousand","298.4"
"Population Estimates (Persons in April)","2016","50 - 54 years","Male","Thousand","147.7"
"Population Estimates (Persons in April)","2016","50 - 54 years","Female","Thousand","150.8"
"Population Estimates (Persons in April)","2016","55 - 59 years","Both sexes","Thousand","268.2"
"Population Estimates (Persons in April)","2016","55 - 59 years","Male","Thousand","133.1"
"Population Estimates (Persons in April)","2016","55 - 59 years","Female","Thousand","135.1"
"Population Estimates (Persons in April)","2016","60 - 64 years","Both sexes","Thousand","236.5"
"Population Estimates (Persons in April)","2016","60 - 64 years","Male","Thousand","117.7"
"Population Estimates (Persons in April)","2016","60 - 64 years","Female","Thousand","118.7"
"Population Estimates (Persons in April)","2016","65 - 69 years","Both sexes","Thousand","208"
"Population Estimates (Persons in April)","2016","65 - 69 years","Male","Thousand","103.4"
"Population Estimates (Persons in April)","2016","65 - 69 years","Female","Thousand","104.5"
"Population Estimates (Persons in April)","2016","65 years and over","Both sexes","Thousand","629.8"
"Population Estimates (Persons in April)","2016","65 years and over","Male","Thousand","293.2"
"Population Estimates (Persons in April)","2016","65 years and over","Female","Thousand","336.6"
"Population Estimates (Persons in April)","2016","70 - 74 years","Both sexes","Thousand","159.9"
"Population Estimates (Persons in April)","2016","70 - 74 years","Male","Thousand","78.4"
"Population Estimates (Persons in April)","2016","70 - 74 years","Female","Thousand","81.6"
"Population Estimates (Persons in April)","2016","75 - 79 years","Both sexes","Thousand","114.2"
"Population Estimates (Persons in April)","2016","75 - 79 years","Male","Thousand","53.5"
"Population Estimates (Persons in April)","2016","75 - 79 years","Female","Thousand","60.7"
"Population Estimates (Persons in April)","2016","80 - 84 years","Both sexes","Thousand","80.5"
"Population Estimates (Persons in April)","2016","80 - 84 years","Male","Thousand","34.9"
"Population Estimates (Persons in April)","2016","80 - 84 years","Female","Thousand","45.5"
"Population Estimates (Persons in April)","2016","85 years and over","Both sexes","Thousand","67.3"
"Population Estimates (Persons in April)","2016","85 years and over","Male","Thousand","23"
"Population Estimates (Persons in April)","2016","85 years and over","Female","Thousand","44.4"
"Population Estimates (Persons in April)","2016","All ages","Both sexes","Thousand","4739.6"
"Population Estimates (Persons in April)","2016","All ages","Male","Thousand","2346.5"
"Population Estimates (Persons in April)","2016","All ages","Female","Thousand","2393.1"
"Population Estimates (Persons in April)","2017","Under 1 year","Both sexes","Thousand","64"
"Population Estimates (Persons in April)","2017","Under 1 year","Male","Thousand","33"
"Population Estimates (Persons in April)","2017","Under 1 year","Female","Thousand","31.3"
"Population Estimates (Persons in April)","2017","0 - 4 years","Both sexes","Thousand","324.6"
"Population Estimates (Persons in April)","2017","0 - 4 years","Male","Thousand","166.1"
"Population Estimates (Persons in April)","2017","0 - 4 years","Female","Thousand","158.5"
"Population Estimates (Persons in April)","2017","0 - 14 years","Both sexes","Thousand","1007"
"Population Estimates (Persons in April)","2017","0 - 14 years","Male","Thousand","514.6"
"Population Estimates (Persons in April)","2017","0 - 14 years","Female","Thousand","492.4"
"Population Estimates (Persons in April)","2017","1 - 4 years","Both sexes","Thousand","260.7"
"Population Estimates (Persons in April)","2017","1 - 4 years","Male","Thousand","133.4"
"Population Estimates (Persons in April)","2017","1 - 4 years","Female","Thousand","286.8"
"Population Estimates (Persons in April)","2017","5 - 9 years","Both sexes","Thousand","359.1"
"Population Estimates (Persons in April)","2017","5 - 9 years","Male","Thousand","183.1"
"Population Estimates (Persons in April)","2017","5 - 9 years","Female","Thousand","176"
"Population Estimates (Persons in April)","2017","10 - 14 years","Both sexes","Thousand","323.3"
"Population Estimates (Persons in April)","2017","10 - 14 years","Male","Thousand","165.5"
"Population Estimates (Persons in April)","2017","10 - 14 years","Female","Thousand","157.8"
"Population Estimates (Persons in April)","2017","15 - 19 years","Both sexes","Thousand","308.5"
"Population Estimates (Persons in April)","2017","15 - 19 years","Male","Thousand","157.6"
"Population Estimates (Persons in April)","2017","15 - 19 years","Female","Thousand","151"
"Population Estimates (Persons in April)","2017","15 - 24 years","Both sexes","Thousand","584.8"
"Population Estimates (Persons in April)","2017","15 - 24 years","Male","Thousand","297.9"
"Population Estimates (Persons in April)","2017","15 - 24 years","Female","Thousand","286.8"
"Population Estimates (Persons in April)","2017","15 years and over","Both sexes","Thousand","3785.5"
"Population Estimates (Persons in April)","2017","15 years and over","Male","Thousand","1857.5"
"Population Estimates (Persons in April)","2017","15 years and over","Female","Thousand","1928"
"Population Estimates (Persons in April)","2017","20 - 24 years","Both sexes","Thousand","276.3"
"Population Estimates (Persons in April)","2017","20 - 24 years","Male","Thousand","140.4"
"Population Estimates (Persons in April)","2017","20 - 24 years","Female","Thousand","135.9"
"Population Estimates (Persons in April)","2017","25 - 29 years","Both sexes","Thousand","292.4"
"Population Estimates (Persons in April)","2017","25 - 29 years","Male","Thousand","144.3"
"Population Estimates (Persons in April)","2017","25 - 29 years","Female","Thousand","148.2"
"Population Estimates (Persons in April)","2017","25 - 44 years","Both sexes","Thousand","1398.1"
"Population Estimates (Persons in April)","2017","25 - 44 years","Male","Thousand","683.4"
"Population Estimates (Persons in April)","2017","25 - 44 years","Female","Thousand","714.7"
"Population Estimates (Persons in April)","2017","30 - 34 years","Both sexes","Thousand","347.9"
"Population Estimates (Persons in April)","2017","30 - 34 years","Male","Thousand","166.3"
"Population Estimates (Persons in April)","2017","30 - 34 years","Female","Thousand","181.6"
"Population Estimates (Persons in April)","2017","35 - 39 years","Both sexes","Thousand","394.6"
"Population Estimates (Persons in April)","2017","35 - 39 years","Male","Thousand","192.7"
"Population Estimates (Persons in April)","2017","35 - 39 years","Female","Thousand","201.9"
"Population Estimates (Persons in April)","2017","40 - 44 years","Both sexes","Thousand","363.1"
"Population Estimates (Persons in April)","2017","40 - 44 years","Male","Thousand","180.1"
"Population Estimates (Persons in April)","2017","40 - 44 years","Female","Thousand","183"
"Population Estimates (Persons in April)","2017","45 - 49 years","Both sexes","Thousand","333.1"
"Population Estimates (Persons in April)","2017","45 - 49 years","Male","Thousand","166.2"
"Population Estimates (Persons in April)","2017","45 - 49 years","Female","Thousand","166.9"
"Population Estimates (Persons in April)","2017","45 - 64 years","Both sexes","Thousand","1152.7"
"Population Estimates (Persons in April)","2017","45 - 64 years","Male","Thousand","572.7"
"Population Estimates (Persons in April)","2017","45 - 64 years","Female","Thousand","580"
"Population Estimates (Persons in April)","2017","50 - 54 years","Both sexes","Thousand","303.3"
"Population Estimates (Persons in April)","2017","50 - 54 years","Male","Thousand","150.1"
"Population Estimates (Persons in April)","2017","50 - 54 years","Female","Thousand","153.2"
"Population Estimates (Persons in April)","2017","55 - 59 years","Both sexes","Thousand","274"
"Population Estimates (Persons in April)","2017","55 - 59 years","Male","Thousand","135.9"
"Population Estimates (Persons in April)","2017","55 - 59 years","Female","Thousand","138.2"
"Population Estimates (Persons in April)","2017","60 - 64 years","Both sexes","Thousand","242.3"
"Population Estimates (Persons in April)","2017","60 - 64 years","Male","Thousand","120.5"
"Population Estimates (Persons in April)","2017","60 - 64 years","Female","Thousand","121.8"
"Population Estimates (Persons in April)","2017","65 - 69 years","Both sexes","Thousand","211.3"
"Population Estimates (Persons in April)","2017","65 - 69 years","Male","Thousand","104.8"
"Population Estimates (Persons in April)","2017","65 - 69 years","Female","Thousand","106.4"
"Population Estimates (Persons in April)","2017","65 years and over","Both sexes","Thousand","649.9"
"Population Estimates (Persons in April)","2017","65 years and over","Male","Thousand","303.4"
"Population Estimates (Persons in April)","2017","65 years and over","Female","Thousand","346.4"
"Population Estimates (Persons in April)","2017","70 - 74 years","Both sexes","Thousand","169.2"
"Population Estimates (Persons in April)","2017","70 - 74 years","Male","Thousand","82.9"
"Population Estimates (Persons in April)","2017","70 - 74 years","Female","Thousand","86.3"
"Population Estimates (Persons in April)","2017","75 - 79 years","Both sexes","Thousand","116.8"
"Population Estimates (Persons in April)","2017","75 - 79 years","Male","Thousand","55.1"
"Population Estimates (Persons in April)","2017","75 - 79 years","Female","Thousand","61.7"
"Population Estimates (Persons in April)","2017","80 - 84 years","Both sexes","Thousand","82.9"
"Population Estimates (Persons in April)","2017","80 - 84 years","Male","Thousand","36.2"
"Population Estimates (Persons in April)","2017","80 - 84 years","Female","Thousand","46.6"
"Population Estimates (Persons in April)","2017","85 years and over","Both sexes","Thousand","69.7"
"Population Estimates (Persons in April)","2017","85 years and over","Male","Thousand","24.3"
"Population Estimates (Persons in April)","2017","85 years and over","Female","Thousand","45.3"
"Population Estimates (Persons in April)","2017","All ages","Both sexes","Thousand","4792.5"
"Population Estimates (Persons in April)","2017","All ages","Male","Thousand","2372.1"
"Population Estimates (Persons in April)","2017","All ages","Female","Thousand","2420.4"
"Population Estimates (Persons in April)","2018","Under 1 year","Both sexes","Thousand","61.5"
"Population Estimates (Persons in April)","2018","Under 1 year","Male","Thousand","31.3"
"Population Estimates (Persons in April)","2018","Under 1 year","Female","Thousand","30.3"
"Population Estimates (Persons in April)","2018","0 - 4 years","Both sexes","Thousand","319.3"
"Population Estimates (Persons in April)","2018","0 - 4 years","Male","Thousand","163.3"
"Population Estimates (Persons in April)","2018","0 - 4 years","Female","Thousand","156"
"Population Estimates (Persons in April)","2018","0 - 14 years","Both sexes","Thousand","1008.7"
"Population Estimates (Persons in April)","2018","0 - 14 years","Male","Thousand","515.9"
"Population Estimates (Persons in April)","2018","0 - 14 years","Female","Thousand","492.9"
"Population Estimates (Persons in April)","2018","1 - 4 years","Both sexes","Thousand","257.8"
"Population Estimates (Persons in April)","2018","1 - 4 years","Male","Thousand","132"
"Population Estimates (Persons in April)","2018","1 - 4 years","Female","Thousand","125.8"
"Population Estimates (Persons in April)","2018","5 - 9 years","Both sexes","Thousand","356.9"
"Population Estimates (Persons in April)","2018","5 - 9 years","Male","Thousand","182.1"
"Population Estimates (Persons in April)","2018","5 - 9 years","Female","Thousand","174.7"
"Population Estimates (Persons in April)","2018","10 - 14 years","Both sexes","Thousand","332.6"
"Population Estimates (Persons in April)","2018","10 - 14 years","Male","Thousand","170.5"
"Population Estimates (Persons in April)","2018","10 - 14 years","Female","Thousand","162.1"
"Population Estimates (Persons in April)","2018","15 - 19 years","Both sexes","Thousand","316.2"
"Population Estimates (Persons in April)","2018","15 - 19 years","Male","Thousand","161.2"
"Population Estimates (Persons in April)","2018","15 - 19 years","Female","Thousand","155"
"Population Estimates (Persons in April)","2018","15 - 24 years","Both sexes","Thousand","605.5"
"Population Estimates (Persons in April)","2018","15 - 24 years","Male","Thousand","308.5"
"Population Estimates (Persons in April)","2018","15 - 24 years","Female","Thousand","297"
"Population Estimates (Persons in April)","2018","15 years and over","Both sexes","Thousand","3848.3"
"Population Estimates (Persons in April)","2018","15 years and over","Male","Thousand","1889.9"
"Population Estimates (Persons in April)","2018","15 years and over","Female","Thousand","1958.4"
"Population Estimates (Persons in April)","2018","20 - 24 years","Both sexes","Thousand","289.3"
"Population Estimates (Persons in April)","2018","20 - 24 years","Male","Thousand","147.3"
"Population Estimates (Persons in April)","2018","20 - 24 years","Female","Thousand","142"
"Population Estimates (Persons in April)","2018","25 - 29 years","Both sexes","Thousand","291.1"
"Population Estimates (Persons in April)","2018","25 - 29 years","Male","Thousand","145.2"
"Population Estimates (Persons in April)","2018","25 - 29 years","Female","Thousand","145.9"
"Population Estimates (Persons in April)","2018","25 - 44 years","Both sexes","Thousand","1395.2"
"Population Estimates (Persons in April)","2018","25 - 44 years","Male","Thousand","682.6"
"Population Estimates (Persons in April)","2018","25 - 44 years","Female","Thousand","712.6"
"Population Estimates (Persons in April)","2018","30 - 34 years","Both sexes","Thousand","335.8"
"Population Estimates (Persons in April)","2018","30 - 34 years","Male","Thousand","161.1"
"Population Estimates (Persons in April)","2018","30 - 34 years","Female","Thousand","174.8"
"Population Estimates (Persons in April)","2018","35 - 39 years","Both sexes","Thousand","398.3"
"Population Estimates (Persons in April)","2018","35 - 39 years","Male","Thousand","193.1"
"Population Estimates (Persons in April)","2018","35 - 39 years","Female","Thousand","205.2"
"Population Estimates (Persons in April)","2018","40 - 44 years","Both sexes","Thousand","369.9"
"Population Estimates (Persons in April)","2018","40 - 44 years","Male","Thousand","183.2"
"Population Estimates (Persons in April)","2018","40 - 44 years","Female","Thousand","186.7"
"Population Estimates (Persons in April)","2018","45 - 49 years","Both sexes","Thousand","341.2"
"Population Estimates (Persons in April)","2018","45 - 49 years","Male","Thousand","170.2"
"Population Estimates (Persons in April)","2018","45 - 49 years","Female","Thousand","171"
"Population Estimates (Persons in April)","2018","45 - 64 years","Both sexes","Thousand","1174.3"
"Population Estimates (Persons in April)","2018","45 - 64 years","Male","Thousand","583.3"
"Population Estimates (Persons in April)","2018","45 - 64 years","Female","Thousand","591"
"Population Estimates (Persons in April)","2018","50 - 54 years","Both sexes","Thousand","306.7"
"Population Estimates (Persons in April)","2018","50 - 54 years","Male","Thousand","152"
"Population Estimates (Persons in April)","2018","50 - 54 years","Female","Thousand","154.6"
"Population Estimates (Persons in April)","2018","55 - 59 years","Both sexes","Thousand","279.9"
"Population Estimates (Persons in April)","2018","55 - 59 years","Male","Thousand","138.6"
"Population Estimates (Persons in April)","2018","55 - 59 years","Female","Thousand","141.3"
"Population Estimates (Persons in April)","2018","60 - 64 years","Both sexes","Thousand","246.5"
"Population Estimates (Persons in April)","2018","60 - 64 years","Male","Thousand","122.4"
"Population Estimates (Persons in April)","2018","60 - 64 years","Female","Thousand","124.1"
"Population Estimates (Persons in April)","2018","65 - 69 years","Both sexes","Thousand","215.8"
"Population Estimates (Persons in April)","2018","65 - 69 years","Male","Thousand","106.8"
"Population Estimates (Persons in April)","2018","65 - 69 years","Female","Thousand","108.9"
"Population Estimates (Persons in April)","2018","65 years and over","Both sexes","Thousand","673.4"
"Population Estimates (Persons in April)","2018","65 years and over","Male","Thousand","315.6"
"Population Estimates (Persons in April)","2018","65 years and over","Female","Thousand","357.8"
"Population Estimates (Persons in April)","2018","70 - 74 years","Both sexes","Thousand","177.7"
"Population Estimates (Persons in April)","2018","70 - 74 years","Male","Thousand","87.4"
"Population Estimates (Persons in April)","2018","70 - 74 years","Female","Thousand","90.2"
"Population Estimates (Persons in April)","2018","75 - 79 years","Both sexes","Thousand","121.9"
"Population Estimates (Persons in April)","2018","75 - 79 years","Male","Thousand","57.6"
"Population Estimates (Persons in April)","2018","75 - 79 years","Female","Thousand","64.2"
"Population Estimates (Persons in April)","2018","80 - 84 years","Both sexes","Thousand","85.1"
"Population Estimates (Persons in April)","2018","80 - 84 years","Male","Thousand","37.5"
"Population Estimates (Persons in April)","2018","80 - 84 years","Female","Thousand","47.6"
"Population Estimates (Persons in April)","2018","85 years and over","Both sexes","Thousand","73"
"Population Estimates (Persons in April)","2018","85 years and over","Male","Thousand","26.2"
"Population Estimates (Persons in April)","2018","85 years and over","Female","Thousand","46.8"
"Population Estimates (Persons in April)","2018","All ages","Both sexes","Thousand","4857"
"Population Estimates (Persons in April)","2018","All ages","Male","Thousand","2405.8"
"Population Estimates (Persons in April)","2018","All ages","Female","Thousand","2451.3"
"Population Estimates (Persons in April)","2019","Under 1 year","Both sexes","Thousand","61.4"
"Population Estimates (Persons in April)","2019","Under 1 year","Male","Thousand","31.2"
"Population Estimates (Persons in April)","2019","Under 1 year","Female","Thousand","30.2"
